"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","4","5","6","7","8","9","invalid","undetermined"
"UBE2I-AD-00130",1,20,92,78,14,22,12,0,2,33,1,0,1,17,10,40,25,1,0,2,4,9,1,28,3,0,0,0,1,1,8,52,22,65,20,6,34,155764
"UBE2I-AD-00132",46,0,4,64,3,15,2,2,3,2,0,0,1,3,20,29,0,3,0,9,41,19,35,6,0,0,17,0,10,4,1,56,24,28,0,22,3,108
"UBE2I-AD-00133",3,21,37,37,98,389,240,3,2529,958,477,8,1496,73,526,662,917,761,169,1184,31,7,13,22,12,4,23,5,169,247,35,21,9,33,9,8,16,340040
"UBE2I-AD-00134",2869,2459,3823,3688,4543,4897,6211,2725,2676,1925,1372,2036,1446,835,1239,2796,2206,907,382,366,3874,3342,3542,3070,782,487,648,322,462,1279,4110,3474,3441,3302,2598,2066,63,2694
"UBE2I-AD-00136",470,47,50,78,84,24,44,0,1,1,2,46,12,23,19,0,0,12,0,0,24,2,179,15,16,5,25,0,0,12,146,182,118,149,38,46,4,149
"UBE2I-AD-00137",9,44,44,42,2,1,25,53,24,8,12,42,21,8,0,16,10,13,2,0,33,29,11,37,12,10,1,7,6,1,56,78,28,51,8,0,0,184
"UBE2I-AD-00138",27,83,57,74,8,60,95,49,116,6,46,29,58,11,60,91,7,21,28,66,126,42,104,85,28,0,35,12,2,12,68,127,242,101,83,4,5,1049
"UBE2I-AD-00139",2,16,20,39,16,72,45,25,52,68,13,40,15,4,11,24,4,3,6,4,16,25,106,73,4,26,4,3,2,9,48,2,81,1,4,2,12,1614
"UBE2I-AD-00141",45,16,33,13,629,159,514,118,1833,310,586,1,996,283,257,396,408,1,181,408,44,4,3,16,55,0,0,49,75,131,47,35,14,17,60,0,3,571
"UBE2I-AD-00142",46,56,72,79,56,42,59,174,88,15,15,2,29,13,8,88,71,2,6,9,43,65,66,96,12,2,20,4,3,4,76,121,57,166,17,4,5,1356
"UBE2I-AD-00143",22,19,6,63,326,346,287,55,172,1,134,23,13,173,5,109,1014,15,197,1,33,35,99,43,7,86,29,8,3,1,35,27,24,9,13,5,2,166
"UBE2I-AD-00144",1281,1080,1516,1507,19311,17622,21586,5669,7557,5600,9871,993,6710,6162,7295,9801,9203,7440,3800,7283,2026,1501,1762,1416,1178,394,688,3159,687,6059,1918,2040,1596,1700,1063,676,81,5126
"UBE2I-AD-00145",12,119,32,35,56,52,18,2,1,47,30,37,8,4,1,11,13,8,3,0,39,32,12,61,7,21,2,6,0,1,54,41,0,43,19,10,1,243
"UBE2I-AD-00146",9,6,0,3,0,5,9,14,7,4,7,2,4,2,3,4,9,6,2,2,4,11,1,2,2,1,1,1,4,0,8,18,1,4,1,3,0,96
